"食事は良く噛んで、食べましょう。","食事[しょくじ]は 良[よ]く 噛[か]んで、 食[た]べましょう。","Make sure to chew your food thoroughly when eating.<br><br>噛[か]む - to chew, to bite","Asegúrate de masticar bien los alimentos al comer.<br><br>噛[か]む - masticar, morder","[sound:JLPT_Tango_N4_0327.mp3]","","単語N4"
"この店のスパゲッティは量が多いです。","この 店[みせ]のスパゲッティは 量[りょう]が 多[おお]いです。","""This restaurant's spaghetti's portions are big.<br><br>量[りょう] - amount, portion""","Las porciones de espaguetis de este restaurante son grandes.<br><br>量[りょう] - cantidad, porción","[sound:JLPT_Tango_N4_0328.mp3]","","単語N4"
"御飯を少し残しました。","御飯[ごはん]を 少[すこ]し 残[のこ]しました。","I left a little rice.<br><br>残[のこ]す - to leave","Dejé un poco de arroz.<br><br>[残[のこ]す - para dejar","[sound:JLPT_Tango_N4_0329.mp3]","","単語N4"
"料理が残ったら、明日食べましょう。","料理[りょうり]が 残[のこ]ったら、 明日[あした] 食[た]べましょう。","""If there is any left over food, let's eat it tomorrow.<br><br>残[のこ]る - to remain, to be left over""","Si sobra comida, comámosla mañana.<br><br>残[のこ]る - que se queda, que sobra","[sound:JLPT_Tango_N4_0330.mp3]","","単語N4"
"タイ料理にチャレンジしてみます。","タイ 料理[りょうり]にチャレンジしてみます。","I want to try Thai food.<br><br>チャレンジ＜する＞ - challenge","Quiero probar la comida tailandesa.<br><br>チャレンジ＜する＞ - desafío","[sound:JLPT_Tango_N4_0331.mp3]","","単語N4"
"冷蔵庫の材料で料理を作ります。","冷蔵庫[れいぞうこ]の 材料[ざいりょう]で 料理[りょうり]を 作[つく]ります。","""I'm going to make a dish with the ingredients in the refrigerator.<br><br>材料[ざいりょう] - ingredient""","Voy a hacer un plato con los ingredientes de la nevera.<br><br>材料[ざいりょう] - ingrediente","[sound:JLPT_Tango_N4_0332.mp3]","","単語N4"
"トマトを半分に切って下さい。","トマトを 半分[はんぶん]に 切[き]って 下[くだ]さい。","Please cut the tomato in half.<br><br>半分[はんぶん] - half","Por favor, corte el tomate por la mitad.<br><br>半分[はんぶん] - la mitad","[sound:JLPT_Tango_N4_0333.mp3]","","単語N4"
"スプーンで塩と砂糖を計ります。","スプーンで 塩[しお]と 砂糖[さとう]を 計[はか]ります。","I measure the salt and sugar with a spoon.<br><br>計[はか]る - to measure","Mido la sal y el azúcar con una cuchara.<br><br>計[はか]る - para medir","[sound:JLPT_Tango_N4_0334.mp3]","","単語N4"
"肉と玉葱を良く混ぜて下さい。","肉[にく]と 玉葱[たまねぎ]を 良[よ]く 混[ま]ぜて 下[くだ]さい。","Please mix the meat and onions well.<br><br>混[ま]ぜる - to mix","Por favor, mezcle bien la carne y las cebollas.<br><br>混[ま]ぜる - para mezclar","[sound:JLPT_Tango_N4_0335.mp3]","","単語N4"
"台所の便利な道具を買いました。","台所[だいどころ]の 便利[べんり]な 道具[どうぐ]を 買[か]いました。","I bought some convenient tools for the kitchen.<br><br>道具[どうぐ] - tool","Compré algunas herramientas convenientes para la cocina.<br><br>道具[どうぐ] - herramienta","[sound:JLPT_Tango_N4_0336.mp3]","","単語N4"
"鍋に水を入れて下さい。","鍋[なべ]に 水[みず]を 入[い]れて 下[くだ]さい。","Please put water in the pot.<br><br>鍋[なべ] - pot","Por favor, ponga agua en la olla.<br><br>鍋[なべ] - olla","[sound:JLPT_Tango_N4_0337.mp3]","","単語N4"
"この瓶の蓋は何処にありますか。","この 瓶[びん]の 蓋[ふた]は 何処[どこ]にありますか。","Where is the lid for this bottle?<br><br>蓋[ふた] - lid","¿Dónde está la tapa de este frasco? <br><br>蓋[ふた] - tapa","[sound:JLPT_Tango_N4_0338.mp3]","","単語N4"
"この料理には白い皿を使いましょう。","この 料理[りょうり]には 白[しろ]い 皿[さら]を 使[つか]いましょう。","""Let's use a white plate for this dish.<br><br>（お） 皿[さら] - plate""","Vamos a utilizar un plato blanco para este plato.<br><br>（お） 皿[さら] - plato","[sound:JLPT_Tango_N4_0339.mp3]","","単語N4"
"この大きい茶碗は誰のですか。","この 大[おお]きい 茶碗[ちゃわん]は 誰[だれ]のですか。","Whose large bowl is this?<br><br>茶碗[ちゃわん] - bowl","¿De quién es este tazón grande? <br><br>茶碗[ちゃわん] - tazón","[sound:JLPT_Tango_N4_0340.mp3]","","単語N4"
"大きいお皿を用意して下さい。","大[おお]きいお 皿[さら]を 用意[ようい]して 下[くだ]さい。","Please prepare a large bowl.<br><br>用意[ようい]＜する＞ - preparations","Por favor, prepare un bol grande.<br><br>用意[ようい]＜する＞ - preparaciones","[sound:JLPT_Tango_N4_0341.mp3]","","単語N4"
"ラーメン屋に沢山の人が並んでいます。","ラーメン 屋[や]に 沢山[たくさん]の 人[ひと]が 並[なら]んでいます。","There are a lot of people lined up outside of the ramen shop.<br><br>並[なら]ぶ - to line up","Hay mucha gente haciendo cola fuera de la tienda de ramen.<br><br>並[なら]ぶ - para hacer cola","[sound:JLPT_Tango_N4_0342.mp3]","","単語N4"
"テーブルに料理を並べました。","テーブルに 料理[りょうり]を 並[なら]べました。","There are dishes lined up on the table.<br><br>並[なら]べる - to put in a line, to line up","Hay platos alineados en la mesa.<br><br>並[なら]べる - poner en fila, alinear","[sound:JLPT_Tango_N4_0343.mp3]","","単語N4"
"火が強いので、少し弱くして下さい。","火[ひ]が 強[つよ]いので、 少[すこ]し 弱[よわ]くして 下[くだ]さい。","The heat is a little high, so please lower it.<br><br>火[ひ] - heat, fire","El calor es un poco alto, así que por favor bájalo.<br><br>火[ひ] - calor, fuego","[sound:JLPT_Tango_N4_0344.mp3]","","単語N4"
"魚を１０分くらい焼きます。","魚[さかな]を１０ 分[ぷん]くらい 焼[や]きます。","I will cook the fish for about 10 minutes.<br><br>焼[や]く - to cook, to bake","Cocinaré el pescado durante unos 10 minutos.<br><br>焼[や]く - cocinar, hornear","[sound:JLPT_Tango_N4_0345.mp3]","","単語N4"
"もうすぐパンが焼けます。","もうすぐパンが 焼[や]けます。","The bread will soon be baked.<br><br>焼[や]ける - to be cooked, to be baked","El pan se horneará pronto.<br><br>焼[や]ける - para ser cocinado, para ser horneado","[sound:JLPT_Tango_N4_0346.mp3]","","単語N4"
"薬缶に水が入っていますか。","薬缶[やかん]に 水[みず]が 入[はい]っていますか。","Is there water in the kettle?<br><br>薬缶[やかん] - Kettle","¿Hay agua en la tetera?<br><br>薬缶[やかん] - Tetera","[sound:JLPT_Tango_N4_0347.mp3]","","単語N4"
"薬缶でお湯を沸かしましょう。","薬缶[やかん]でお 湯[ゆ]を 沸[わ]かしましょう。","""Let's boil water in the kettle.<br><br>沸[わ]かす - to boil""","Vamos a hervir agua en la tetera.<br><br>沸[わ]かす - hervir","[sound:JLPT_Tango_N4_0348.mp3]","","単語N4"
"このスープを温めて下さい。","このスープを 温[あたた]めて 下[くだ]さい。","Please heat up this soup.<br><br>温[あたた]める - to heat up","Por favor, calienta esta sopa.<br><br>[温[あたた]める - para calentar","[sound:JLPT_Tango_N4_0349.mp3]","","単語N4"
"これを冷蔵庫で３０分冷やします。","これを 冷蔵庫[れいぞうこ]で３０ 分[ぷん] 冷[ひ]やします。","""I'm going to cool this off in the refrigerator for 30 minutes.<br><br>冷[ひ]やす - to chill, to cool""","Voy a enfriar esto en la nevera durante 30 minutos.<br><br>冷[ひ]やす - Enfriar, enfriar","[sound:JLPT_Tango_N4_0350.mp3]","","単語N4"
"お茶を入れましょうか。","お 茶[ちゃ]を 入[い]れましょうか。","Shall I make some tea?<br><br>（お 茶[ちゃ]を） 入[い]れる - to make tea","¿Preparo un poco de té? <br><br>（お 茶[ちゃ]を） 入[い]れる - hacer té","[sound:JLPT_Tango_N4_0351.mp3]","","単語N4"
"冷蔵庫の中の肉が腐ってしまいました。","冷蔵庫[れいぞうこ]の 中[なか]の 肉[にく]が 腐[くさ]ってしまいました。","The meat in the refrigerator has gone bad.<br><br>腐[くさ]る - to go bad","La carne de la nevera se ha estropeado.<br><br>腐[くさ]る - se ha estropeado","[sound:JLPT_Tango_N4_0352.mp3]","","単語N4"
"この野菜は捨てないで下さい。","この 野菜[やさい]は 捨[す]てないで 下[くだ]さい。","""Please don't throw these vegetables away.<br><br>捨[す]てる - to throw away""","Por favor, no tire estas verduras.<br><br>捨[す]てる - para tirar a la basura","[sound:JLPT_Tango_N4_0353.mp3]","","単語N4"
"パンより米が好きです。","パンより 米[こめ]が 好[す]きです。","I like rice more than bread.<br><br>（お） 米[こめ] - rice","Me gusta más el arroz que el pan.<br><br>（お） 米[こめ] - arroz","[sound:JLPT_Tango_N4_0354.mp3]","","単語N4"
"毎日、自分でお弁当を作っています。","毎日[まいにち]、 自分[じぶん]でお 弁当[べんとう]を 作[つく]っています。","I make my own boxed lunch every day.<br><br>（お） 弁当[べんとう] - boxed lunch","Preparo mi propio almuerzo en caja todos los días.<br><br>（お） 弁当[べんとう] - almuerzo en caja","[sound:JLPT_Tango_N4_0355.mp3]","","単語N4"
"今日のおかずは天ぷらです。","今日[きょう]のおかずは 天[てん]ぷらです。","""Today's side dish is tempura.<br><br>おかず - side dish""","La guarnición de hoy es la tempura.<br><br>おかず - plato de acompañamiento","[sound:JLPT_Tango_N4_0356.mp3]","","単語N4"
"私はインスタント食品をよく食べます。","私[わたし]はインスタント 食品[しょくひん]をよく 食[た]べます。","I often eat instant food.<br><br>インスタント 食品[しょくひん] - instant food","Suelo comer comida instantánea.<br><br>インスタント 食品[しょくひん] - comida instantánea","[sound:JLPT_Tango_N4_0357.mp3]","","単語N4"
"缶詰は料理に便利です。","缶詰[かんづめ]は 料理[りょうり]に 便利[べんり]です。","Canned food is convenient for cooking.<br><br>缶詰[かんづめ] - canned food","La comida enlatada es conveniente para cocinar.<br><br>缶詰[かんづめ] - comida enlatada","[sound:JLPT_Tango_N4_0358.mp3]","","単語N4"
"家事の中で料理が一番好きです。","家事[かじ]の 中[なか]で 料理[りょうり]が 一番[いちばん] 好[す]きです。","Cooking is my favorite house chore.<br><br>家事[かじ] - house chore","Cocinar es mi tarea doméstica favorita.<br><br>家事[かじ] - tarea doméstica","[sound:JLPT_Tango_N4_0359.mp3]","","単語N4"
"値段を見てから、靴を買います。","値段[ねだん]を 見[み]てから、 靴[くつ]を 買[か]います。","I buy shoes after looking at the price.<br><br>値段[ねだん] - Price","Compro los zapatos después de mirar el precio.<br><br>値段[ねだん] - Precio","[sound:JLPT_Tango_N4_0360.mp3]","","単語N4"
"食料品の値段が上がりました。","食料[しょくりょう] 品[ひん]の 値段[ねだん]が 上[あ]がりました。","The price of food has increased.<br><br>上[あ]がる - to increase","El precio de los alimentos ha aumentado.<br><br>上[あ]がる - aumentar","[sound:JLPT_Tango_N4_0361.mp3]","","単語N4"
"明日から夏のバーゲンが始まります。","明日[あした]から 夏[なつ]のバーゲンが 始[はじ]まります。","Summer bargains start tomorrow.<br><br>バーゲン - bargain","Las ofertas de verano comienzan mañana.<br><br>バーゲン - chollo","[sound:JLPT_Tango_N4_0362.mp3]","","単語N4"
"このレストランは学生の割引があります。","このレストランは 学生[がくせい]の 割引[わりびき]があります。","This restaurant offers a student discount.<br><br>割引[わりびき] - discount","Este restaurante ofrece un descuento para estudiantes.<br><br>割引[わりびき] - descuento","[sound:JLPT_Tango_N4_0363.mp3]","","単語N4"
"この雑誌は無料です。","この 雑誌[ざっし]は 無料[むりょう]です。","This magazine is free.<br><br>無料[むりょう] - free","Esta revista es gratuita.<br><br>無料[むりょう] - gratis","[sound:JLPT_Tango_N4_0364.mp3]","","単語N4"
"このトイレは有料です。","このトイレは 有料[ゆうりょう]です。","You have to pay a fee to use this toilet.<br><br>有料[ゆうりょう] - having a fee/charge","Tienes que pagar una cuota para usar este baño.<br><br>有料[ゆうりょう] - tener una cuota/cargo","[sound:JLPT_Tango_N4_0365.mp3]","","単語N4"
"財布を家に忘れて来ました。","財布[さいふ]を 家[いえ]に 忘[わす]れて 来[き]ました。","I left my wallet at home.<br><br>財布[さいふ] - wallet","Me he dejado la cartera en casa.<br><br>財布[さいふ] - cartera","[sound:JLPT_Tango_N4_0366.mp3]","","単語N4"
